City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,qaqortoq,60.7167,-46.0333,-1.91,98,100,2.95,GL,1677225943
327,ketchikan,55.3422,-131.6461,-8.9,66,100,1.69,US,1677226000
328,tuktoyaktuk,69.4541,-133.0374,-10.59,95,100,4.99,CA,1677226159
329,marsh harbour,26.5412,-77.0636,23.41,75,26,2.39,BS,1677225970
330,maarianhamina,60.0973,19.9348,-2.88,100,75,1.03,AX,1677226160
331,zaraza,9.3503,-65.3245,22.18,83,90,3.02,VE,1677226009
332,vangaindrano,-23.35,47.6,27.91,65,70,1.96,MG,1677226160
333,saint-augustin,51.226,-58.6502,-31.63,86,8,3.25,CA,1677225872
334,jieshou,33.2634,115.3611,11.9,47,99,2.31,CN,1677226161
335,lovington,32.944,-103.3485,0.47,42,6,4.88,US,1677226161
336,banda aceh,5.5577,95.3222,28.74,68,96,7.44,ID,1677225942
337,prince rupert,54.3161,-130.3201,-11.48,67,74,3.03,CA,1677226023
338,ostrovnoy,68.0531,39.5131,-14.32,97,95,2.89,RU,1677225856
339,alibag,18.6411,72.8792,34.04,39,0,5.51,IN,1677226161
340,miyako,39.6367,141.9525,3.93,81,100,1.76,JP,1677225980
341,ajdabiya,30.7554,20.2263,16.11,33,0,2.56,LY,1677226162
342,santa rosa,14.3122,121.1114,32.83,62,74,1.59,PH,1677225978
343,emerald,-23.5333,148.1667,30.19,39,16,5.76,AU,1677226163
344,qarqin,37.4185,66.0436,22.35,23,95,7.58,AF,1677226164
345,shingu,33.7333,135.9833,7.8,94,100,2.16,JP,1677226164
346,woodstock,43.1334,-80.7497,-3.14,89,96,6.47,CA,1677226367
347,pastavy,55.1168,26.8326,-0.35,97,100,4.15,BY,1677226164
348,nushki,29.5542,66.0215,24.57,19,0,5.15,PK,1677226165
349,boyolangu,-8.1181,111.8935,24.85,94,100,1.51,ID,1677226165
350,olinda,-8.0089,-34.8553,24.85,83,40,1.54,BR,1677225864
351,murray bridge,-35.1167,139.2667,28.96,62,100,6.71,AU,1677226166
352,athabasca,54.7169,-113.2854,-25.16,97,99,2.41,CA,1677226032
353,havelock,34.8791,-76.9013,19.98,91,19,0.89,US,1677225984
354,klyuchi,52.2667,79.1667,0.38,92,100,4.81,RU,1677226166
355,krasnoarmeysk,51.0239,45.6969,-11.85,88,64,6.08,RU,1677226146
356,mandalgovi,45.7625,106.2708,-1.76,34,5,3.99,MN,1677226167
357,staryy nadym,65.6118,72.6842,-4.15,94,100,1.61,RU,1677226167
358,tagusao,9.1924,117.8141,27.16,80,60,5.34,PH,1677226168
359,castro,-24.7911,-50.0119,16.93,98,100,1.73,BR,1677225872
360,chickasha,35.0526,-97.9364,-1.91,50,0,5.14,US,1677226168
361,roma,43.2128,-75.4557,2.07,94,100,4.63,US,1677226111
362,zyryanka,65.75,150.85,-23.71,97,100,3.27,RU,1677226169
